Class,EfficientNet F1,Custom CNN F1,Difference
Apple___Apple_scab,1.0,0.9333333333333333,0.06666666666666665
Apple___Black_rot,1.0,0.9465648854961832,0.05343511450381677
Apple___Cedar_apple_rust,1.0,0.9824561403508771,0.01754385964912286
Apple___healthy,1.0,0.978978978978979,0.02102102102102099
Cherry_(including_sour)___Powdery_mildew,1.0,0.9719626168224299,0.028037383177570097
Cherry_(including_sour)___healthy,1.0,0.9883720930232558,0.011627906976744207
Tomato___healthy,1.0,0.978328173374613,0.021671826625387025
Corn_(maize)___Common_rust_,1.0,1.0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9953917050691244,0.004608294930875556
Potato___Late_blight,1.0,0.926829268292683,0.07317073170731703
"Pepper,_bell___Bacterial_spot",1.0,0.9615384615384616,0.038461538461538436
"Pepper,_bell___healthy",1.0,0.9735099337748344,0.026490066225165587
Orange___Haunglongbing_(Citrus_greening),1.0,0.9945750452079566,0.005424954792043413
Grape___healthy,1.0,0.9655172413793104,0.03448275862068961
Tomato___Leaf_Mold,1.0,0.8715596330275229,0.12844036697247707
Tomato___Septoria_leaf_spot,1.0,0.9388888888888889,0.061111111111111116
Tomato___Tomato_mosaic_virus,1.0,0.8837209302325582,0.11627906976744184
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9820923656927427,0.01790763430725728
Strawberry___Leaf_scorch,1.0,0.990990990990991,0.009009009009009028
Strawberry___healthy,1.0,0.967032967032967,0.03296703296703296
Raspberry___healthy,1.0,0.95,0.050000000000000044
Potato___healthy,1.0,0.47058823529411764,0.5294117647058824
Soybean___healthy,0.9980314960629921,0.9507186858316222,0.047312810231369906
Peach___Bacterial_spot,0.9978308026030369,0.9631236442516269,0.03470715835141003
Tomato___Bacterial_spot,0.9976580796252927,0.9615384615384616,0.03611961808683117
Tomato___Late_blight,0.9974025974025974,0.8603351955307262,0.13706740187187116
Squash___Powdery_mildew,0.997275204359673,0.9918256130790191,0.00544959128065392
Blueberry___healthy,0.9966996699669967,0.9966996699669967,0.0
Grape___Esca_(Black_Measles),0.996415770609319,0.9822064056939501,0.014209364915368838
Corn_(maize)___healthy,0.9957446808510638,0.9957446808510638,0.0
Grape___Black_rot,0.9957446808510638,0.9785407725321889,0.017203908318874972
Potato___Early_blight,0.9950248756218906,0.98,0.015024875621890588
Tomato___Spider_mites Two-spotted_spider_mite,0.9940828402366864,0.9147727272727273,0.07931011296395907
Tomato___Target_Spot,0.9893992932862191,0.8955223880597015,0.09387690522651759
Peach___healthy,0.9863013698630136,0.9230769230769231,0.06322444678609052
Tomato___Early_blight,0.9849246231155779,0.8900523560209425,0.09487226709463548
Corn_(maize)___Northern_Leaf_Blight,0.96875,0.8865979381443299,0.08215206185567014
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9454545454545454,0.8113207547169812,0.13413379073756426
